Incident Date,Incident Time,Incident Year,Incident Day of Week,Incident ID,Incident Number,Incident Category,Incident Subcategory,Incident Description,Intersection,Police District,Analysis Neighborhood,Latitude,Longitude
11/24/24,23:00,2024,Sunday,1446338,240761949,Larceny Theft,Larceny - From Vehicle,"Theft, From Locked Vehicle, <$50",03RD ST \ DAVIDSON AVE,Bayview,Bayview Hunters Point,37.74352646,-122.3876266
12/8/24,12:45,2024,Sunday,1446406,246157613,Larceny Theft,Larceny Theft - Other,"Theft, Other Property, $50-$200",UNION ST \ WEBSTER ST,Northern,Marina,37.79729843,-122.4338455
12/8/24,11:00,2024,Sunday,1446428,246157641,Larceny Theft,Larceny - From Vehicle,"Theft, From Locked Vehicle, >$950",BROADWAY \ STEINER ST,Northern,Pacific Heights,37.79405594,-122.4365692
12/1/24,3:12,2024,Sunday,1446465,240743282,Larceny Theft,Larceny - From Vehicle,"Theft, From Locked Vehicle, >$950",GOLDEN GATE AVE \ JONES ST,Tenderloin,Tenderloin,37.78207397,-122.4122238
12/1/24,3:12,2024,Sunday,1446465,240743282,Motor Vehicle Theft,Motor Vehicle Theft,"Vehicle, Stolen, Auto",GOLDEN GATE AVE \ JONES ST,Tenderloin,Tenderloin,37.78207397,-122.4122238
10/13/24,7:48,2024,Sunday,1446468,240644527,Burglary,Burglary - Commercial,"Burglary, Store, Unlawful Entry",CASTRO ST \ JERSEY ST,Mission,Noe Valley,37.75049591,-122.4340057
10/13/24,7:48,2024,Sunday,1446468,240644527,Larceny Theft,Larceny Theft - Shoplifting,"Theft, Shoplifting, >$950",CASTRO ST \ JERSEY ST,Mission,Noe Valley,37.75049591,-122.4340057
10/6/24,1:00,2024,Sunday,1446481,240628327,Burglary,Burglary - Other,"Burglary, Non-residential, Forcible Entry",20TH ST \ FOLSOM ST,Mission,Mission,37.75889587,-122.4146881
7/7/24,3:08,2024,Sunday,1446505,240422856,Burglary,Burglary - Commercial,"Burglary, Store, Forcible Entry",CHESTNUT ST \ MALLORCA WAY,Northern,Marina,37.80068207,-122.4373016
12/8/24,19:00,2024,Sunday,1446524,240763503,Assault,Simple Assault,"Assault, Non-Aggravated",BAKER ST \ MARINA BLVD,Northern,Marina,37.80516052,-122.4472885
12/8/24,5:30,2024,Sunday,1446525,240763246,Assault,Simple Assault,Battery,MASON ST \ POST ST,Central,Nob Hill,37.78808212,-122.4100571
12/8/24,16:00,2024,Sunday,1446575,246158730,Larceny Theft,Larceny - From Vehicle,"Theft, From Locked Vehicle, >$950",FRANKLIN ST \ PAGE ST,Northern,Hayes Valley,37.77429581,-122.4207611
12/8/24,17:19,2024,Sunday,1446576,246158514,Larceny Theft,Larceny Theft - Other,"Theft, Other Property, >$950",04TH ST \ BLUXOME ST,Southern,South of Market,37.77769852,-122.3957443
12/8/24,20:30,2024,Sunday,1446588,246158285,Malicious Mischief,Vandalism,"Malicious Mischief, Vandalism to Property",FILLMORE ST \ NORTH POINT ST,Northern,Marina,37.80360413,-122.4368896
12/8/24,19:00,2024,Sunday,1446591,246158558,Larceny Theft,Larceny - From Vehicle,"Theft, From Locked Vehicle, >$950",BEALE ST \ HARRISON ST,Southern,Financial District/South Beach,37.78745651,-122.3911819
12/8/24,20:01,2024,Sunday,1446593,246158304,Larceny Theft,Larceny - From Vehicle,"Theft, From Unlocked Vehicle, >$950",GOUGH ST \ GROVE ST,Northern,Hayes Valley,37.77781677,-122.4231644
11/10/24,0:01,2024,Sunday,1446641,240764379,Larceny Theft,Larceny Theft - Other,"License Plate or Tab, Theft of",BAKER ST \ HAYES ST,Park,Lone Mountain/USF,37.77456665,-122.4411087
12/8/24,17:00,2024,Sunday,1446701,246158570,Larceny Theft,Larceny - From Vehicle,"Theft, From Locked Vehicle, >$950",04TH ST \ BLUXOME ST,Southern,South of Market,37.77769852,-122.3957443
12/1/24,20:00,2024,Sunday,1446706,246158520,Larceny Theft,Larceny Theft - Other,"Theft, Other Property, >$950",MINT ST \ MISSION ST,Southern,South of Market,37.78219223,-122.4071655
12/8/24,0:30,2024,Sunday,1446710,246158508,Larceny Theft,Larceny - From Vehicle,"Theft, From Locked Vehicle, >$950",BONIFACIO ST \ LAPU-LAPU ST,Southern,South of Market,37.78259659,-122.399353
12/8/24,15:01,2024,Sunday,1446716,246158401,Larceny Theft,Larceny Theft - Other,"Theft, Other Property, >$950",16TH ST \ WIESE ST,Mission,Mission,37.7650032,-122.4204788
12/8/24,8:00,2024,Sunday,1446717,246158564,Malicious Mischief,Vandalism,"Malicious Mischief, Vandalism to Property",CLEMENTINA ST \ ECKER ST,Southern,Financial District/South Beach,37.78709793,-122.3957901
12/8/24,22:03,2024,Sunday,1446721,246158768,Larceny Theft,Larceny - From Vehicle,"Theft, From Unlocked Vehicle, >$950",FRANCISCO ST \ FRANKLIN ST,Northern,Marina,37.80299759,-122.4265671
12/8/24,22:00,2024,Sunday,1446729,246158796,Larceny Theft,Larceny - From Vehicle,"Theft, From Locked Vehicle, >$950",CALIFORNIA ST \ PALM AVE,Richmond,Presidio Heights,37.78582382,-122.4580612
12/8/24,0:30,2024,Sunday,1446733,240211310,Larceny Theft,Larceny - From Vehicle,"Theft, From Locked Vehicle, >$950",BONIFACIO ST \ LAPU-LAPU ST,Southern,South of Market,37.78259659,-122.399353
12/8/24,20:00,2024,Sunday,1446757,240765195,Motor Vehicle Theft,Motor Vehicle Theft,"Vehicle, Stolen, Motorcycle",24TH ST \ UTAH ST,Mission,Mission,37.7530632,-122.4053345
12/8/24,21:45,2024,Sunday,1446764,240765355,Assault,Simple Assault,Battery,BAKER ST \ MARINA BLVD,Northern,Marina,37.80516052,-122.4472885
10/13/24,22:43,2024,Sunday,1446789,240645995,Burglary,Burglary - Commercial,"Burglary, Store, Forcible Entry",20TH ST \ FOLSOM ST,Mission,Mission,37.75889587,-122.4146881
12/8/24,12:00,2024,Sunday,1446816,240765656,Burglary,Burglary - Residential,"Burglary, Apartment House, Unlawful Entry",18TH ST \ OAKWOOD ST,Mission,Mission,37.76148987,-122.4250259
12/8/24,21:00,2024,Sunday,1446827,240765559,Burglary,Burglary - Residential,"Burglary, Residence, Forcible Entry",30TH AVE \ SANTIAGO ST,Taraval,Sunset/Parkside,37.74440002,-122.4876099
12/8/24,21:00,2024,Sunday,1446833,240765979,Larceny Theft,Larceny - From Vehicle,"Theft, From Locked Vehicle, $200-$950",01ST ST \ FOLSOM ST,Southern,Financial District/South Beach,37.78730011,-122.3944778
12/8/24,23:00,2024,Sunday,1446863,240766187,Assault,Aggravated Assault,"Assault, Aggravated, W/ Force",BUSH ST \ VAN NESS AVE,Northern,Nob Hill,37.7884903,-122.4219513
12/8/24,20:00,2024,Sunday,1446865,246159051,Larceny Theft,Larceny - From Vehicle,"Theft, From Locked Vehicle, >$950",INNES AVE \ NEWHALL ST,Bayview,Bayview Hunters Point,37.73942184,-122.3888321
12/8/24,17:45,2024,Sunday,1446871,246159073,Larceny Theft,Larceny Theft - Other,"Theft, Other Property, >$950",SAN BRUNO AVE \ THORNTON AVE,Bayview,Portola,37.73031616,-122.4047089
12/8/24,20:45,2024,Sunday,1446878,246158865,Larceny Theft,Larceny Theft - Other,"Theft, Other Property, $50-$200",03RD ST \ MISSION CREEK,Southern,Mission Bay,37.77672195,-122.390213
12/8/24,16:00,2024,Sunday,1446881,246158730,Larceny Theft,Larceny - From Vehicle,"Theft, From Locked Vehicle, >$950",FRANKLIN ST \ PAGE ST,Northern,Hayes Valley,37.77429581,-122.4207611
12/8/24,9:00,2024,Sunday,1446906,240766369,Burglary,Burglary - Residential,"Burglary, Apartment House, Att. Forcible Entry",EDDY ST \ HYDE ST,Tenderloin,Tenderloin,37.78351593,-122.4158859
12/1/24,15:41,2024,Sunday,1446934,240766789,Larceny Theft,Larceny Theft - Shoplifting,"Theft, Shoplifting, >$950",GEARY ST \ STOCKTON ST,Central,Financial District/South Beach,37.78756714,-122.4065933
12/8/24,13:00,2024,Sunday,1446961,240767157,Motor Vehicle Theft,Motor Vehicle Theft,"Vehicle, Stolen & Recovered",FELL ST \ PIERCE ST,Northern,Hayes Valley,37.7744751,-122.4342957
9/22/24,0:00,2024,Sunday,1446968,246159039,Larceny Theft,Larceny Theft - Other,"Theft, Other Property, >$950",TENNESSEE ST \ TUBBS ST,Bayview,Potrero Hill,37.75635529,-122.3891068
11/17/24,0:01,2024,Sunday,1446983,240767204,Motor Vehicle Theft,Motor Vehicle Theft,"Vehicle, Stolen, Motorcycle",BAKER ST \ FILBERT ST,Northern,Marina,37.79676056,-122.4455948
12/8/24,6:00,2024,Sunday,1446987,240767232,Larceny Theft,Theft From Vehicle,"License Plate, Stolen",21ST ST \ VALENCIA ST,Mission,Mission,37.75690079,-122.4211197
12/1/24,8:00,2024,Sunday,1447097,246159299,Malicious Mischief,Vandalism,"Malicious Mischief, Vandalism to Property",27TH AVE \ TARAVAL ST,Taraval,Sunset/Parkside,37.74267197,-122.4842606
12/8/24,23:00,2024,Sunday,1447193,240769266,Larceny Theft,Larceny Theft - From Building,"Theft, From Building, >$950",COLE ST \ FULTON ST,Park,Lone Mountain/USF,37.775177,-122.451355
11/17/24,22:00,2024,Sunday,1447201,246159324,Malicious Mischief,Vandalism,"Malicious Mischief, Vandalism to Property",08TH AVE \ JUDAH ST,Taraval,Inner Sunset,37.76222229,-122.4651184
12/1/24,12:00,2024,Sunday,1447269,240769426,Larceny Theft,Larceny Theft - Shoplifting,"Theft, Shoplifting, $50-$200",POST ST \ WEBSTER ST,Northern,Japantown,37.78537369,-122.431366
11/24/24,11:00,2024,Sunday,1445448,246156245,Larceny Theft,Larceny - From Vehicle,"Theft, From Unlocked Vehicle, >$950",MARIPOSA ST \ POTRERO AVE,Mission,Mission,37.76318741,-122.4073029
12/1/24,20:00,2024,Sunday,1445453,246156336,Larceny Theft,Larceny Theft - Other,"Theft, Other Property, $50-$200",22ND AVE \ IRVING ST,Taraval,Sunset/Parkside,37.7634201,-122.4803391
11/3/24,1:53,2024,Sunday,1445618,240689341,Assault,Aggravated Assault,"Assault, Aggravated, W/ Other Weapon",ALPHA ST \ TIOGA AVE,Ingleside,Visitacion Valley,37.7155571,-122.402565
11/3/24,1:53,2024,Sunday,1445618,240689341,Larceny Theft,Larceny Theft - Other,"Theft, Other Property, $200-$950",ALPHA ST \ TIOGA AVE,Ingleside,Visitacion Valley,37.7155571,-122.402565
11/3/24,1:53,2024,Sunday,1445618,240689341,Malicious Mischief,Vandalism,"Malicious Mischief, Vandalism to Vehicle",ALPHA ST \ TIOGA AVE,Ingleside,Visitacion Valley,37.7155571,-122.402565
12/1/24,12:00,2024,Sunday,1445626,240756310,Larceny Theft,Theft From Vehicle,"License Plate, Stolen",GATEVIEW CT \ MENDOSA AVE,Taraval,West of Twin Peaks,37.74812698,-122.4667435
12/1/24,14:00,2024,Sunday,1445633,240756382,Larceny Theft,Theft From Vehicle,"License Plate, Stolen",RAYMOND AVE \ RUTLAND ST,Ingleside,Visitacion Valley,37.71322632,-122.4070587
12/1/24,22:30,2024,Sunday,1445668,246156433,Malicious Mischief,Other,"Phone Calls, Harassing",26TH AVE \ LAKE ST,Richmond,Seacliff,37.78569794,-122.4862213
12/1/24,12:00,2024,Sunday,1445684,240756843,Larceny Theft,Theft From Vehicle,"License Plate, Stolen",GEARY ST \ GRANT AVE,Central,Financial District/South Beach,37.7877655,-122.4050446
1/14/24,13:10,2024,Sunday,1445707,240030465,Larceny Theft,Larceny Theft - From Building,"Theft, From Building, $200-$950",FILLMORE ST \ SACRAMENTO ST,Northern,Pacific Heights,37.78983688,-122.4340286
12/1/24,8:00,2024,Sunday,1445710,240757114,Motor Vehicle Theft,Motor Vehicle Theft,"Vehicle, Stolen, Auto",EVANS AVE \ SELBY ST,Mission,Bayview Hunters Point,37.74616241,-122.3940506
12/8/24,2:15,2024,Sunday,1445766,240757625,Assault,Simple Assault,Battery,06TH ST \ STEVENSON ST,Tenderloin,South of Market,37.78175354,-122.4096909
12/8/24,1:30,2024,Sunday,1445768,240757631,Larceny Theft,Larceny Theft - Other,"Theft, Other Property, $50-$200",CLARION ALY \ MISSION ST,Mission,Mission,37.76305008,-122.4194794
12/8/24,1:45,2024,Sunday,1445769,240757590,Malicious Mischief,Vandalism,"Malicious Mischief, Vandalism to Vehicle",SACRAMENTO ST \ SANSOME ST,Central,Chinatown,37.79398727,-122.4013138
12/8/24,0:45,2024,Sunday,1445772,240757534,Malicious Mischief,Other,"Fire Alarm, False",06TH ST \ MINNA ST,Southern,South of Market,37.78053665,-122.4081573
12/8/24,0:45,2024,Sunday,1445772,240757534,Malicious Mischief,Vandalism,"Malicious Mischief, Breaking Windows",06TH ST \ MINNA ST,Southern,South of Market,37.78053665,-122.4081573
12/8/24,0:45,2024,Sunday,1445772,240757534,Malicious Mischief,Vandalism,"Malicious Mischief, Vandalism to Property",06TH ST \ MINNA ST,Southern,South of Market,37.78053665,-122.4081573
12/8/24,4:20,2024,Sunday,1445780,240757716,Assault,Aggravated Assault,"Assault, Aggravated, W/ Other Weapon",ATHENS ST \ RUSSIA AVE,Ingleside,Excelsior,37.71852875,-122.4307785
12/8/24,4:00,2024,Sunday,1445783,240757722,Burglary,Burglary - Commercial,"Burglary, Warehouse, Forcible Entry",GRIFFITH ST \ THOMAS AVE,Bayview,Bayview Hunters Point,37.7251091,-122.3819351
12/1/24,21:00,2024,Sunday,1445803,240757857,Motor Vehicle Theft,Motor Vehicle Theft,"Vehicle, Stolen, Motorcycle",CAMBRIDGE ST \ SILLIMAN ST,Ingleside,Excelsior,37.7276268,-122.4188995
12/8/24,7:55,2024,Sunday,1445805,240757835,Assault,Simple Assault,Battery,PINE ST \ POLK ST,Northern,Nob Hill,37.78961945,-122.4204941
12/8/24,7:55,2024,Sunday,1445805,240757835,Malicious Mischief,Vandalism,"Malicious Mischief, Vandalism to Property",PINE ST \ POLK ST,Northern,Nob Hill,37.78961945,-122.4204941
12/8/24,7:10,2024,Sunday,1445806,240757813,Assault,Simple Assault,Battery,COSMO PL \ JONES ST,Central,Nob Hill,37.78795624,-122.413414
12/8/24,7:10,2024,Sunday,1445806,240757813,Assault,Simple Assault,"Battery, former Spouse or Dating Relationship",COSMO PL \ JONES ST,Central,Nob Hill,37.78795624,-122.413414
12/8/24,5:00,2024,Sunday,1445808,240757788,Assault,Aggravated Assault,"Assault, Aggravated, W/ Other Weapon",JONES ST \ POST ST,Central,Tenderloin,37.78766251,-122.413353
12/8/24,9:16,2024,Sunday,1445809,240757891,Malicious Mischief,Vandalism,"Malicious Mischief, Breaking Windows",ARLETA AVE \ BAY SHORE BLVD \ SAN BRUNO AVE,Ingleside,Visitacion Valley,37.71218109,-122.4024582
12/8/24,0:00,2024,Sunday,1445813,240757910,Motor Vehicle Theft,Motor Vehicle Theft,"Vehicle, Stolen, Auto",CLIPPER ST \ NOE ST,Mission,Noe Valley,37.74902725,-122.4316406
12/8/24,6:00,2024,Sunday,1445816,240757960,Burglary,Burglary - Hot Prowl,"Burglary, Hot Prowl, Forcible Entry",44TH AVE \ RIVERA ST,Taraval,Sunset/Parkside,37.74559784,-122.502739
12/8/24,8:15,2024,Sunday,1445818,240757879,Assault,Simple Assault,Battery,05TH ST \ CLEMENTINA ST,Southern,South of Market,37.78070068,-122.403923
12/8/24,9:00,2024,Sunday,1445822,240758065,Motor Vehicle Theft,Motor Vehicle Theft,"Vehicle, Stolen, Auto",ELLIS ST \ JONES ST,Tenderloin,Tenderloin,37.78486633,-122.4127808
12/8/24,10:55,2024,Sunday,1445829,240758087,Assault,Simple Assault,Battery,23RD ST \ SOUTH VAN NESS AVE,Mission,Mission,37.75396729,-122.4164124
12/8/24,10:30,2024,Sunday,1445830,240758128,Larceny Theft,Theft From Vehicle,"License Plate, Stolen",24TH ST \ OSAGE ALY,Mission,Mission,37.7522049,-122.419014
12/8/24,11:00,2024,Sunday,1445832,240758093,Assault,Simple Assault,Battery,03RD ST \ MINNA ST,Southern,Financial District/South Beach,37.78582764,-122.4014893
12/1/24,23:00,2024,Sunday,1445833,240758178,Assault,Simple Assault,Battery,LEAVENWORTH ST \ POST ST,Central,Tenderloin,37.7874527,-122.4149933
12/8/24,8:21,2024,Sunday,1445838,240757863,Larceny Theft,Larceny Theft - Shoplifting,"Theft, Shoplifting, $200-$950",GENEVA AVE \ LONDON ST,Ingleside,Excelsior,37.71603775,-122.4402542
12/8/24,11:50,2024,Sunday,1445839,240758134,Larceny Theft,Larceny Theft - Shoplifting,"Theft, Shoplifting, $50-$200",BUSH ST \ FILLMORE ST,Northern,Pacific Heights,37.78702164,-122.4334564
12/8/24,11:44,2024,Sunday,1445840,240758190,Malicious Mischief,Vandalism,"Malicious Mischief, Vandalism to Property",EDDY ST \ POWELL ST,Tenderloin,Tenderloin,37.78469849,-122.4076996
12/1/24,0:00,2024,Sunday,1445844,240758275,Malicious Mischief,Vandalism,"Malicious Mischief, Vandalism to Vehicle",25TH ST \ CONNECTICUT ST,Bayview,Potrero Hill,37.75231171,-122.3965149
12/8/24,12:00,2024,Sunday,1445845,240758344,Larceny Theft,Theft From Vehicle,"License Plate, Stolen",BURNETT AVE \ CRESTLINE DR,Park,Twin Peaks,37.74925232,-122.444809
12/8/24,11:15,2024,Sunday,1445858,240758457,Larceny Theft,Larceny Theft - Pickpocket,"Theft, Pickpocket, $200-$950",STOCKTON ST \ WASHINGTON ST,Central,Chinatown,37.79494095,-122.4080811
12/8/24,13:40,2024,Sunday,1445871,240758394,Assault,Simple Assault,"Assault, Non-Aggravated, Att.",EDDY ST \ GOUGH ST,Northern,Western Addition,37.78247833,-122.4241104
12/8/24,11:58,2024,Sunday,1445876,240758300,Assault,Aggravated Assault,"Assault, Att. Homicide, W/ Gun",BROOKDALE AVE \ SANTOS ST,Ingleside,Visitacion Valley,37.71193314,-122.4187622
12/8/24,11:58,2024,Sunday,1445876,240758300,Assault,Aggravated Assault,"Assault, Aggravated, W/ Gun",BROOKDALE AVE \ SANTOS ST,Ingleside,Visitacion Valley,37.71193314,-122.4187622
12/8/24,15:50,2024,Sunday,1445888,240758708,Larceny Theft,Larceny Theft - Shoplifting,"Theft, Shoplifting, $200-$950",GEARY BLVD \ PRESIDIO AVE,Richmond,Lone Mountain/USF,37.78248978,-122.4458237
12/8/24,0:55,2024,Sunday,1445891,240758758,Motor Vehicle Theft,Motor Vehicle Theft,"Vehicle, Stolen, Auto",BAY SHORE BLVD \ FITZGERALD AVE,Bayview,Portola,37.72696304,-122.4018784
12/8/24,17:46,2024,Sunday,1445892,240758770,Malicious Mischief,Vandalism,"Malicious Mischief, Vandalism to Vehicle",MARIPOSA ST \ UTAH ST,Mission,Mission,37.76325226,-122.4063034
12/8/24,17:50,2024,Sunday,1445896,240758833,Motor Vehicle Theft,Motor Vehicle Theft,"Vehicle, Stolen, Truck",CHURCH ST \ HERMANN ST,Park,Hayes Valley,37.77035141,-122.4292221
12/8/24,17:59,2024,Sunday,1445897,240758786,Larceny Theft,Larceny Theft - Other,"Theft, Other Property, $50-$200",17TH ST \ HARRISON ST,Mission,Mission,37.76409149,-122.413002
12/8/24,17:49,2024,Sunday,1445902,240758855,Assault,Aggravated Assault,"Assault, Aggravated, W/ Gun",MANSELL ST \ PERSIA AVE,Ingleside,McLaren Park,37.71713257,-122.4246597
12/8/24,18:36,2024,Sunday,1445903,240758918,Motor Vehicle Theft,Motor Vehicle Theft,"Vehicle, Stolen, Auto",LARKIN ST \ OFARRELL ST,Tenderloin,Tenderloin,37.78516769,-122.4179001
12/8/24,15:41,2024,Sunday,1445906,240758968,Larceny Theft,Larceny Theft - Other,"Theft, Other Property, $50-$200",ARELIOUS WALKER DR \ CARROLL AVE,Bayview,Bayview Hunters Point,37.71966553,-122.3840866
12/8/24,18:56,2024,Sunday,1445907,240758924,Larceny Theft,Larceny Theft - Pickpocket,"Theft, Pickpocket, <$50",GEARY ST \ POWELL ST,Central,Financial District/South Beach,37.78736115,-122.408226
12/8/24,17:29,2024,Sunday,1445908,240758736,Larceny Theft,Larceny Theft - Other,"Theft, From Person, >$950 (other than Pickpocket)",09TH ST \ FOLSOM ST,Southern,South of Market,37.77376938,-122.4116135
12/8/24,18:49,2024,Sunday,1445911,240758899,Assault,Simple Assault,Battery,JONES ST \ MCALLISTER ST,Tenderloin,Tenderloin,37.78113556,-122.4120255
12/8/24,16:40,2024,Sunday,1445912,240758946,Assault,Simple Assault,Battery,HARBOR RD \ NORTHRIDGE RD,Bayview,Bayview Hunters Point,37.73101044,-122.3769989
12/8/24,20:13,2024,Sunday,1445913,240758996,Larceny Theft,Larceny Theft - Shoplifting,"Theft, Shoplifting, >$950",CASTRO ST \ JERSEY ST,Mission,Noe Valley,37.75049591,-122.4340057
12/8/24,3:00,2024,Sunday,1445914,240758974,Burglary,Burglary - Hot Prowl,"Burglary, Hot Prowl, Unlawful Entry",25TH ST \ HARRISON ST,Mission,Mission,37.75103378,-122.4117432
12/8/24,19:39,2024,Sunday,1445919,240758980,Malicious Mischief,Vandalism,"Malicious Mischief, Breaking Windows",BUSH ST \ JONES ST,Central,Nob Hill,37.78952789,-122.4137268
12/8/24,12:00,2024,Sunday,1445920,240759063,Motor Vehicle Theft,Motor Vehicle Theft,"Vehicle, Stolen, Auto",15TH ST \ WIESE ST,Mission,Mission,37.76662445,-122.420639
12/8/24,16:30,2024,Sunday,1445921,240758902,Larceny Theft,Larceny Theft - Shoplifting,"Theft, Shoplifting, $50-$200",31ST AVE \ NORIEGA ST,Taraval,Sunset/Parkside,37.75367355,-122.4893265
